name;number of reactions;number of correct answers;total trials;happy;sad;neutral;8ms;16ms;25ms;141ms;8ms happy;8ms sad;8ms neutral;16ms happy;16ms sad;16ms neutral;25ms happy;25ms sad;25ms neutral;141ms happy;141ms sad;141ms neutral;study_number
9;355;275;77.4648;84.1667;65.2542;82.906;40;56.8966;75.8621;97.2067;36.3636;37.5;45.4545;83.3333;14.2857;80;91.6667;57.1429;76.9231;98.3871;93.3333;100;study1
24;358;262;73.1844;75.6303;47.8992;95.8333;30.5085;53.3333;71.1864;94.4444;7.1429;3.5714;94.1176;30;14.2857;92.3077;95;34.7826;93.75;98.4615;85.1852;98.3607;study1
3;302;244;80.7947;92.1053;57.4468;90.4255;43.1373;77.7778;80.9524;93.2927;11.1111;4.7619;95.2381;95.2381;0;93.75;100;52.9412;100;100;91.6667;86.7925;study1
14;219;203;92.6941;96.6667;80.3571;97.2603;100;78.5714;90.9091;94.152;100;0;0;100;33.3333;66.6667;95;75;100;96.7213;84.4444;98.4615;study1
22;310;251;80.9677;92.1569;66.3366;84.1121;38.7097;51.9231;83.3333;96.5318;57.1429;8.3333;58.3333;76.4706;26.3158;56.25;95;68.75;83.3333;100;92.5926;96.7213;study1
6;352;253;71.875;84.7458;48.7179;82.0513;31.6667;61.0169;63.1579;92.0455;20;9.5238;68.4211;100;11.1111;65;95;22.2222;68.4211;98.2456;81.6667;96.6102;study1
2;352;290;82.3864;90.678;73.5043;82.906;44.0678;64.2857;89.8305;98.3146;44.4444;35;52.381;95;31.5789;64.7059;100;83.3333;85;100;96.6667;98.3051;study1
4;281;230;81.8505;95.098;65.8824;81.9149;100;63.4615;72.3404;89.3258;100;100;0;81.25;46.6667;61.9048;88.8889;33.3333;92.8571;100;79.6296;86.4407;study1
8;355;302;85.0704;94.1176;77.3109;83.7607;56.1404;86.6667;81.3559;94.9721;81.25;47.619;45;100;70.5882;87.5;95.6522;71.4286;73.3333;95.082;91.6667;98.2759;study1
18;333;259;77.7778;85.9649;57.4074;89.1892;28.5714;72.7273;76.7857;96.3855;38.8889;4.5455;50;81.8182;42.8571;84.2105;100;35;100;98.1132;92.3077;98.3607;study1
15;294;269;91.4966;97.1963;96;79.3103;100;78.4314;85.1852;96.6667;100;100;100;92.3077;82.3529;66.6667;94.4444;94.7368;64.7059;98.6486;100;88.8889;study1
7;234;196;83.7607;90.9091;74.2424;83.75;71.4286;54.8387;79.0698;91.5033;75;0;66.6667;63.6364;10;90;85;40;83.3333;100;90.1961;83.6735;study1
20;330;278;84.2424;95.6897;67;87.7193;38.8889;78.1818;93.8776;97.6744;68.75;5;50;100;21.4286;95;100;80;100;100;100;93.4426;study1
21;354;295;83.3333;91.5254;69.7479;88.8889;36.6667;84.2105;91.5254;96.0674;50;5;55;100;35.7143;100;100;76.4706;94.1176;100;94.1176;94.7368;study1
1;354;275;77.6836;82.2034;54.2373;96.6102;35.0877;74.5763;62.7119;97.2067;10;0;100;100;12.5;95.6522;84.2105;18.1818;94.4444;100;95.082;96.6102;study1
5;336;246;73.2143;74.5614;54.5455;90.1786;39.6226;35.2941;72.2222;94.382;20;0;85.7143;12.5;0;84.2105;85;57.8947;73.3333;100;84.4828;98.2456;study1
10;332;278;83.7349;86.3248;66.6667;97.2727;39.2857;76.9231;85.7143;99.4286;15.7895;5.5556;94.7368;100;15.3846;93.75;100;53.3333;100;100;100;98.3333;study1
16;346;251;72.5434;80.7018;54.7826;82.0513;38.9831;58.6207;75.9259;87.4286;11.1111;0;100;82.3529;10.5263;81.8182;94.4444;47.3684;88.2353;96.7213;91.2281;73.6842;study1
17;347;251;72.3343;74.1379;50;93.0435;32.2034;49.1228;77.3585;91.573;9.5238;0;100;37.5;5.2632;95.4545;100;44.4444;85.7143;98.2759;84.4828;91.9355;study1
11;357;291;81.5126;88.1356;58.8235;97.5;41.6667;71.1864;79.3103;98.8889;50;8.3333;81.25;94.7368;30.4348;100;88.8889;52.381;100;98.3607;98.0392;100;study1
39;233;216;92.7039;96.2963;83.5616;97.4684;66.6667;93.8462;91.0256;94.2529;100;0;0;100;81.25;95.6522;90;80.9524;100;100;88.5714;96.5517;study2
41;236;208;88.1356;98.8506;62.1212;97.5904;0;82.6087;87.013;94.382;0;0;0;100;8.3333;95.8333;100;44.4444;100;100;88.8889;96.6667;study2
42;200;168;84;98.6301;57.8947;90;0;71.4286;82.8571;93.75;0;0;0;100;0;76.4706;100;37.5;92;95.4545;87.0968;100;study2
45;243;219;90.1235;98.8506;68.0556;100;0;85.5072;89.2857;94.4444;0;0;0;96.875;35.7143;100;100;60.8696;100;100;85.7143;100;study2
47;232;203;87.5;94.8718;76;91.1392;0;66.0714;91.8605;97.7528;0;0;0;84.6154;16.6667;72.2222;100;80.7692;93.3333;100;94.4444;100;study2
30;291;239;82.1306;94.8454;62.8866;88.6598;32.1429;72.9412;88.5057;100;60;0;30;96.9697;24;88.8889;100;67.8571;96.5517;100;100;100;study2
37;223;174;78.0269;89.4737;43.662;98.6842;0;56.25;79.2683;90.1099;0;0;0;61.9048;0;100;100;19.0476;100;100;75;100;study2
28;279;243;87.0968;97.9381;64.0449;97.8495;72.7273;83.3333;86.5169;93.2584;71.4286;0;100;100;40;100;100;57.1429;100;100;88.5714;93.3333;study2
33;264;226;85.6061;97.7778;59.3023;98.8636;0;77.1084;90;89.011;0;0;0;97.1429;19.0476;96.2963;100;68.9655;100;95.8333;75;100;study2
27;232;184;79.3103;98.7952;83.3333;54.5455;66.6667;74.6269;78.75;84.1463;100;0;0;96.7742;68.75;45;100;87.5;51.7241;100;90.3226;64.2857;study2
46;221;191;86.4253;94.9367;65.7143;97.2222;0;76.087;85.7143;92.3077;0;0;0;83.3333;30;100;100;54.1667;96.5517;100;83.3333;96.7742;study2
43;225;188;83.5556;95.2941;65.7534;88.0597;60;78.9474;87.6923;89.1566;55.5556;40;83.3333;100;47.0588;76.9231;100;73.6842;84.2105;100;75;96.5517;study2
29;337;220;65.2819;67.8261;49.5413;77.8761;32.5;54.321;73.2558;96.6667;13.7931;20.8333;62.963;67.7419;17.3913;70.3704;93.5484;48.1481;75;100;91.4286;100;study2
38;248;215;86.6935;96.4706;63.75;98.7952;0;74.2857;92.0455;91.1111;0;0;0;90.3226;17.6471;95.4545;100;74.0741;100;100;77.7778;100;study2
34;301;252;83.7209;96.2617;68.8172;84.1584;53.1915;85.5422;89.0244;93.2584;94.4444;15.3846;37.5;100;47.619;96.4286;100;75;88.8889;87.5;97.1429;93.3333;study2
25;235;208;88.5106;100;72.0588;90;0;80.8824;86.25;96.5517;0;0;0;100;23.0769;85.7143;100;55;93.3333;100;100;89.6552;study2
40;212;173;81.6038;94.8052;58.8235;89.5522;0;61.2245;82.0513;95.1807;0;0;0;91.3043;6.6667;72.7273;96.6667;45;92.8571;95.8333;96.7742;92.8571;study2
48;234;191;81.6239;98.8372;49.2958;92.2078;100;69.3548;73.75;96.6292;100;0;100;96.5517;0;71.4286;100;12.5;100;100;91.4286;100;study2
32;258;218;84.4961;95.3488;58.3333;98.8636;0;74.6835;85.2273;92.3077;0;0;0;90.625;20;96.2963;96.6667;57.1429;100;100;80.5556;100;study2
36;249;203;81.5261;96.5116;47.4359;97.6471;0;75.6757;81.6092;86.3636;0;0;0;90.625;17.6471;96;100;46.4286;96.5517;100;63.6364;100;study2
