Subject;happy yes;happy no;happy unsure;sad yes;sad no;sad unsure;neutral yes;neutral no;neutral unsure;8ms yes;8ms no;8ms unsure;16ms yes;16ms no;16ms unsure;25ms yes;25ms no;25ms unsure;141ms yes;141ms no;141ms unsure
0;87.5;12.5;0;83.33333333;12.5;4.166666667;87.5;12.5;0;0;95.83333333;4.166666667;100;0;0;100;0;0;100;0;0
1;62.5;12.5;25;45.83333333;16.66666667;37.5;50;20.83333333;29.16666667;0;100;0;37.5;16.66666667;45.83333333;58.33333333;0;41.66666667;100;0;0
2;70.83333333;25;4.166666667;66.66666667;20.83333333;12.5;50;20.83333333;29.16666667;0;95.83333333;4.166666667;45.83333333;16.66666667;37.5;83.33333333;8.333333333;8.333333333;95.83333333;0;4.166666667
3;69.56521739;17.39130435;13.04347826;65.2173913;30.43478261;4.347826087;43.47826087;30.43478261;26.08695652;21.73913043;47.82608696;30.43478261;43.47826087;30.43478261;26.08695652;78.26086957;13.04347826;8.695652174;91.30434783;4.347826087;4.347826087
4;56.52173913;13.04347826;30.43478261;43.47826087;17.39130435;39.13043478;34.7826087;21.73913043;43.47826087;0;100;0;17.39130435;8.695652174;73.91304348;56.52173913;4.347826087;39.13043478;100;0;0
5;20.83333333;41.66666667;37.5;33.33333333;50;16.66666667;29.16666667;29.16666667;41.66666667;0;95.83333333;4.166666667;12.5;54.16666667;33.33333333;20.83333333;20.83333333;58.33333333;83.33333333;12.5;4.166666667
6;54.16666667;33.33333333;12.5;33.33333333;29.16666667;37.5;37.5;25;37.5;8.333333333;79.16666667;12.5;12.5;33.33333333;54.16666667;45.83333333;16.66666667;37.5;100;0;0
7;79.16666667;4.166666667;16.66666667;58.33333333;20.83333333;20.83333333;58.33333333;12.5;29.16666667;0;50;50;58.33333333;4.166666667;37.5;79.16666667;12.5;8.333333333;100;0;0
8;66.66666667;12.5;20.83333333;37.5;37.5;25;45.83333333;12.5;41.66666667;0;100;0;29.16666667;4.166666667;66.66666667;62.5;16.66666667;20.83333333;100;0;0
9;54.16666667;33.33333333;12.5;58.33333333;25;16.66666667;41.66666667;20.83333333;37.5;0;100;0;12.5;33.33333333;54.16666667;87.5;4.166666667;8.333333333;100;0;0
10;54.16666667;16.66666667;29.16666667;37.5;33.33333333;29.16666667;37.5;16.66666667;45.83333333;0;100;0;8.333333333;25;66.66666667;54.16666667;4.166666667;41.66666667;100;0;0
11;50;27.27272727;22.72727273;40.90909091;22.72727273;36.36363636;31.81818182;27.27272727;40.90909091;4.545454545;90.90909091;4.545454545;22.72727273;36.36363636;40.90909091;45.45454545;4.545454545;50;95.45454545;0;4.545454545
12;66.66666667;20.83333333;12.5;58.33333333;20.83333333;20.83333333;50;8.333333333;41.66666667;0;87.5;12.5;37.5;16.66666667;45.83333333;87.5;0;12.5;95.83333333;4.166666667;0
13;30.43478261;34.7826087;34.7826087;34.7826087;43.47826087;21.73913043;30.43478261;43.47826087;26.08695652;0;100;0;0;65.2173913;34.7826087;34.7826087;8.695652174;56.52173913;100;0;0
14;75;25;0;33.33333333;50;16.66666667;54.16666667;29.16666667;16.66666667;0;100;0;45.83333333;41.66666667;12.5;58.33333333;20.83333333;20.83333333;100;0;0
15;83.33333333;12.5;4.166666667;75;12.5;12.5;83.33333333;8.333333333;8.333333333;16.66666667;66.66666667;16.66666667;87.5;0;12.5;91.66666667;4.166666667;4.166666667;100;0;0
16;79.16666667;12.5;8.333333333;50;20.83333333;29.16666667;33.33333333;16.66666667;50;0;95.83333333;4.166666667;45.83333333;12.5;41.66666667;70.83333333;0;29.16666667;83.33333333;0;16.66666667
17;58.33333333;12.5;29.16666667;37.5;20.83333333;41.66666667;37.5;16.66666667;45.83333333;0;100;0;20.83333333;8.333333333;70.83333333;54.16666667;4.166666667;41.66666667;100;0;0
18;50;29.16666667;20.83333333;37.5;33.33333333;29.16666667;41.66666667;45.83333333;12.5;0;100;0;4.166666667;54.16666667;41.66666667;66.66666667;12.5;20.83333333;100;0;0
19;50;29.16666667;20.83333333;33.33333333;29.16666667;37.5;45.83333333;29.16666667;25;0;100;0;0;41.66666667;58.33333333;70.83333333;4.166666667;25;100;0;0
